file,type,freq,detune,level
0000.wav,0,30.0,0.0,1.0
0001.wav,0,30.0,0.0,12.0
0002.wav,0,30.0,0.0,23.0
0003.wav,0,30.0,0.0,34.0
0004.wav,0,30.0,0.0,45.0
0005.wav,0,30.0,0.0,56.0
0006.wav,0,30.0,0.0,67.0
0007.wav,0,30.0,0.0,78.0
0008.wav,0,30.0,0.0,89.0
0009.wav,0,30.0,0.0,100.0
0010.wav,0,30.0,11.11111111111111,1.0
0011.wav,0,30.0,11.11111111111111,12.0
0012.wav,0,30.0,11.11111111111111,23.0
0013.wav,0,30.0,11.11111111111111,34.0
0014.wav,0,30.0,11.11111111111111,45.0
0015.wav,0,30.0,11.11111111111111,56.0
0016.wav,0,30.0,11.11111111111111,67.0
0017.wav,0,30.0,11.11111111111111,78.0
0018.wav,0,30.0,11.11111111111111,89.0
0019.wav,0,30.0,11.11111111111111,100.0
0020.wav,0,30.0,22.22222222222222,1.0
0021.wav,0,30.0,22.22222222222222,12.0
0022.wav,0,30.0,22.22222222222222,23.0
0023.wav,0,30.0,22.22222222222222,34.0
0024.wav,0,30.0,22.22222222222222,45.0
0025.wav,0,30.0,22.22222222222222,56.0
0026.wav,0,30.0,22.22222222222222,67.0
0027.wav,0,30.0,22.22222222222222,78.0
0028.wav,0,30.0,22.22222222222222,89.0
0029.wav,0,30.0,22.22222222222222,100.0
0030.wav,0,30.0,33.33333333333333,1.0
0031.wav,0,30.0,33.33333333333333,12.0
0032.wav,0,30.0,33.33333333333333,23.0
0033.wav,0,30.0,33.33333333333333,34.0
0034.wav,0,30.0,33.33333333333333,45.0
0035.wav,0,30.0,33.33333333333333,56.0
0036.wav,0,30.0,33.33333333333333,67.0
0037.wav,0,30.0,33.33333333333333,78.0
0038.wav,0,30.0,33.33333333333333,89.0
0039.wav,0,30.0,33.33333333333333,100.0
0040.wav,0,30.0,44.44444444444444,1.0
0041.wav,0,30.0,44.44444444444444,12.0
0042.wav,0,30.0,44.44444444444444,23.0
0043.wav,0,30.0,44.44444444444444,34.0
0044.wav,0,30.0,44.44444444444444,45.0
0045.wav,0,30.0,44.44444444444444,56.0
0046.wav,0,30.0,44.44444444444444,67.0
0047.wav,0,30.0,44.44444444444444,78.0
0048.wav,0,30.0,44.44444444444444,89.0
0049.wav,0,30.0,44.44444444444444,100.0
0050.wav,0,30.0,55.55555555555556,1.0
0051.wav,0,30.0,55.55555555555556,12.0
0052.wav,0,30.0,55.55555555555556,23.0
0053.wav,0,30.0,55.55555555555556,34.0
0054.wav,0,30.0,55.55555555555556,45.0
0055.wav,0,30.0,55.55555555555556,56.0
0056.wav,0,30.0,55.55555555555556,67.0
0057.wav,0,30.0,55.55555555555556,78.0
0058.wav,0,30.0,55.55555555555556,89.0
0059.wav,0,30.0,55.55555555555556,100.0
0060.wav,0,30.0,66.66666666666666,1.0
0061.wav,0,30.0,66.66666666666666,12.0
0062.wav,0,30.0,66.66666666666666,23.0
0063.wav,0,30.0,66.66666666666666,34.0
0064.wav,0,30.0,66.66666666666666,45.0
0065.wav,0,30.0,66.66666666666666,56.0
0066.wav,0,30.0,66.66666666666666,67.0
0067.wav,0,30.0,66.66666666666666,78.0
0068.wav,0,30.0,66.66666666666666,89.0
0069.wav,0,30.0,66.66666666666666,100.0
0070.wav,0,30.0,77.77777777777777,1.0
0071.wav,0,30.0,77.77777777777777,12.0
0072.wav,0,30.0,77.77777777777777,23.0
